Character,File Numbers
進,"{4, 6, 20, 21, 22, 34, 36, 43, 47, 50, 62, 69, 74, 75, 80, 85, 92}"
持,"{4, 15, 19, 30, 34, 35, 44, 59, 62, 65, 68, 80}"
焦,"{4, 33, 34, 35, 44, 80}"
泣,"{4, 7, 9, 12, 15, 18, 25, 26, 31, 36, 38, 67, 70, 85, 87}"
君,"{4, 5, 7, 9, 11, 17, 31, 39, 43, 53, 56, 58, 60, 61, 63, 64, 65, 68, 70, 73, 74, 78, 85, 88, 91}"
戻,"{4, 8, 11, 28, 49, 54, 60, 88, 89}"
確,"{4, 19, 25, 49, 69, 89}"
抱,"{4, 16, 31, 34, 36, 38, 41, 48, 54, 59, 63, 67, 70, 74, 80}"
話,"{4, 9, 13, 26, 31, 32, 41, 45, 46, 51, 52, 56, 67, 70, 73}"
掴,"{4, 22, 33, 43, 65}"
緒,"{4, 10, 13, 15, 41, 42, 43, 50, 51, 53, 65, 73, 76}"
隣,"{4, 10, 13, 28, 38, 73, 81, 86}"
沢,"{4, 36, 51}"
田,"{4, 6, 10, 19, 22, 31, 34, 36, 40, 49, 75, 80, 82, 92}"
悠,"{4, 8, 18, 61}"
介,"{4, 18, 42, 45}"
菊,"{4, 41, 65}"
池,"{4, 41, 65}"
司,"{4, 33, 41, 65}"
家,"{4, 49, 65, 77}"
智,"{4, 6, 65, 75}"
彦,"{4, 10, 65}"
小,"{4, 10, 33, 35, 38, 39, 41, 46, 47, 55, 58, 60, 62, 64, 72, 75}"
濱,"{4, 41}"
慶,"{4, 41}"
急,"{4, 21}"
込,"{4, 7, 8, 11, 14, 16, 26, 27, 33, 34, 37, 41, 42, 43, 48, 50, 54, 63, 65, 72, 77, 80, 84}"
迎,"{4, 9, 54}"
朝,"{4, 9, 15, 31, 39, 49, 52, 58, 64, 65, 70}"
昼,"{4, 49, 52, 56, 65}"
夜,"{4, 9, 10, 16, 20, 23, 31, 34, 35, 36, 37, 43, 48, 49, 52, 59, 62, 63, 65, 66, 68, 70, 74, 76, 81, 84}"
食,"{4, 17, 21, 39, 42, 58, 64, 77}"
溶,"{4, 16, 28, 40, 44, 55, 62}"
何,"{4, 5, 9, 13, 15, 16, 22, 23, 24, 25, 26, 38, 42, 45, 53, 54, 56, 62, 73, 85, 86, 89, 91}"
度,"{4, 6, 9, 11, 13, 19, 22, 24, 26, 36, 43, 62, 69, 76, 86, 88}"
走,"{4, 6, 11, 39, 43, 58, 64, 65, 75, 82}"
広,"{4, 10, 11, 45, 61, 92}"
柴,{5}
朗,"{5, 55}"
佳,"{5, 75}"
祐,"{5, 55, 62}"
風,"{5, 8, 33, 35, 42, 43, 55, 60, 61, 65, 72, 74, 81, 91}"
吹,"{5, 8, 16, 34, 60, 61, 76, 80}"
毛,{5}
横,"{5, 68, 76, 89}"
